arming;age;race;state
harmful;83;W;OK
dangerous;32;W;NC
dangerous;27;H;IL
neutral;26;B;TX
harmful;31;W;AR
dangerous;22;B;FL
harmful;41;B;SC
unarmed;41;B;TX
harmless;51;W;MO
dangerous;72;W;CO
harmless;52;H;CA
harmful;47;H;CA
dangerous;18;B;IL
dangerous;29;H;CA
harmful;23;B;MO
dangerous;43;H;AZ
dangerous;45;W;FL
dangerous;40;W;KY
harmful;44;W;NE
dangerous;25;H;TX
neutral;35;B;NJ
unarmed;37;N;WA
harmful;59;W;SC
harmful;35;H;CA
unarmed;18;B;VA
harmful;51;H;AZ
dangerous;30;W;NY
dangerous;31;B;TX
dangerous;39;A;CO
dangerous;26;W;CA
dangerous;51;W;OK
unarmed;19;H;CA
neutral;46;W;CA
dangerous;49;W;OR
dangerous;63;W;OK
dangerous;20;B;CO
harmful;25;W;TX
unarmed;24;B;NY
harmful;58;W;FL
unarmed;29;W;OK
dangerous;76;W;CA
dangerous;45;W;CA
harmful;20;B;MI
dangerous;58;W;OH
dangerous;21;B;LA
dangerous;27;W;IL
harmful;26;W;OK
dangerous;33;H;AZ
dangerous;27;H;CA
dangerous;25;B;GA
dangerous;53;B;VA
dangerous;53;W;TN
unarmed;42;O;CA
harmless;22;H;TX
dangerous;52;W;DE
dangerous;36;W;UT
dangerous;30;B;TX
dangerous;34;O;TX
dangerous;44;H;NM
dangerous;53;W;KY
harmless;36;W;WA
unarmed;29;B;CA
harmful;32;A;CA
dangerous;46;W;VA
dangerous;18;W;NC
harmful;38;W;NY
neutral;21;B;CA
harmful;35;W;AZ
dangerous;58;W;NY
dangerous;48;B;LA
neutral;31;B;MN
dangerous;47;W;WA
neutral;34;B;MD
neutral;30;B;TX
harmful;28;W;FL
dangerous;28;B;FL
dangerous;46;O;HI
neutral;40;W;CA
dangerous;37;W;MI
dangerous;53;W;FL
dangerous;41;W;IL
harmless;42;W;CA
dangerous;45;B;IL
dangerous;34;W;CA
dangerous;18;W;FL
harmful;27;W;NM
unarmed;54;H;VA
dangerous;35;W;AR
dangerous;17;W;CO
dangerous;29;B;PA
harmful;52;W;OH
dangerous;38;B;KY
harmful;39;W;WY
dangerous;26;B;NE
dangerous;22;H;TX
harmful;29;B;FL
harmful;43;W;SC
harmful;24;H;NJ
dangerous;32;B;SC
harmless;40;W;PA
dangerous;25;B;MI
dangerous;47;W;MO
dangerous;40;W;AZ
dangerous;31;W;TX
harmful;36;B;AL
dangerous;62;W;WA
dangerous;51;B;NY
neutral;24;W;LA
harmful;39;W;NJ
harmless;24;W;OK
harmful;57;W;GA
unarmed;20;O;CA
harmless;33;W;CA
dangerous;60;W;SC
dangerous;32;B;CO
dangerous;40;B;GA
harmful;18;W;MI
harmful;36;B;NJ
dangerous;35;W;OK
dangerous;55;W;OR
unarmed;19;W;AZ
harmless;39;H;TN
harmless;47;W;TX
dangerous;23;W;NY
harmful;26;B;MA
harmful;26;W;TX
dangerous;46;H;CA
unarmed;36;H;NM
dangerous;18;H;TX
harmful;33;H;TX
dangerous;56;W;NJ
dangerous;50;H;CA
neutral;45;W;WV
dangerous;30;B;CA
dangerous;53;W;FL
dangerous;45;H;CA
harmful;42;W;TX
dangerous;27;H;CO
dangerous;36;W;FL
dangerous;58;W;WA
harmful;30;H;CA
dangerous;69;W;AZ
unarmed;30;W;OH
dangerous;45;W;TX
dangerous;22;B;OH
unarmed;28;W;IA
dangerous;19;B;NY
dangerous;40;B;FL
neutral;46;B;FL
dangerous;28;H;TX
harmful;22;H;NJ
harmless;17;W;IN
dangerous;46;W;IN
harmless;35;B;KY
dangerous;35;W;TX
neutral;28;H;CA
dangerous;15;W;FL
unarmed;22;B;CA
dangerous;28;H;CA
dangerous;31;N;ND
dangerous;40;W;AL
dangerous;48;W;NM
harmful;58;W;NY
harmful;44;H;MA
dangerous;21;B;OH
dangerous;50;H;CO
dangerous;23;B;IL
unarmed;24;H;CA
harmless;49;W;TX
dangerous;60;W;NC
dangerous;35;H;CA
dangerous;29;W;GA
dangerous;20;B;PA
unarmed;34;W;IN
harmful;22;W;KS
harmful;49;W;TX
dangerous;32;W;NE
dangerous;26;B;VA
unarmed;41;B;MD
dangerous;61;W;CA
dangerous;49;W;NY
dangerous;28;H;TX
dangerous;35;W;OK
harmless;29;W;OR
dangerous;51;W;NY
dangerous;52;W;NC
neutral;24;B;OR
dangerous;32;W;OR
harmless;45;W;MA
harmful;60;A;CA
unarmed;23;B;FL
harmful;27;H;CA
dangerous;46;H;CA
dangerous;33;H;NJ
dangerous;40;W;FL
dangerous;42;B;OK
dangerous;37;W;TN
dangerous;23;B;VA
dangerous;36;W;NV
unarmed;19;W;CA
dangerous;35;W;TX
harmless;25;W;TX
unarmed;43;W;CA
dangerous;20;W;OK
harmful;42;W;NH
harmful;42;H;CA
neutral;31;W;CA
harmful;29;B;CA
dangerous;18;B;TX
harmful;33;W;AZ
dangerous;59;W;TX
dangerous;47;H;CA
dangerous;39;H;TX
harmful;37;B;NJ
dangerous;35;W;MO
harmful;28;W;KY
dangerous;59;W;OR
neutral;62;W;NC
dangerous;50;W;UT
dangerous;68;W;AZ
dangerous;27;B;IL
dangerous;17;W;CA
harmful;38;W;CA
harmful;21;B;MO
dangerous;54;W;NV
dangerous;20;B;GA
dangerous;25;B;IL
dangerous;31;W;CA
harmful;35;N;CO
unarmed;36;B;FL
dangerous;60;W;TX
dangerous;24;W;IL
dangerous;27;W;WY
dangerous;20;B;GA
dangerous;24;W;CA
neutral;23;H;MA
harmful;41;W;CA
dangerous;20;B;FL
harmful;43;W;MI
harmless;25;B;CA
harmful;29;H;WI
dangerous;35;B;FL
dangerous;30;W;KS
dangerous;24;O;TN
dangerous;23;N;WY
dangerous;29;W;AL
harmful;27;W;WA
unarmed;23;B;FL
